ID;TITULO;MES;AÑ;AUTORES;REVISTA;CITACIONES;REFERENCIAS
1;Security modelling and assessment of modern networks using time independent Graphical Security Models;Dec15;2019;"Enoch, SY; Hong, JB and Kim, DS";JOURNAL OF NETWORK AND COMPUTER APPLICATIONS;5;52
2;Formalization of security patterns as a means to infer security controls in business processes;Feb;2015;Varela-Vaca, AJ and Gasca, RM;LOGIC JOURNAL OF THE IGPL;5;32
3;Catalytic Decomposition of N2O over Co-Ti Oxide Catalysts: Interaction between Co and Ti Oxide;jun-21;2016;"Zhang, C; Zhang, ZP; (...); Zhu, YJ";CHEMCATCHEM;26;56
4;Security of electronic personal health information in a public hospital in South Africa;mar-04;2022;Chuma, KG and Ngoepe, M;INFORMATION SECURITY JOURNAL;1;59
5;Reversible Fluorescence Switching of Metal-Organic Framework Nanoparticles for Use as Security Ink and Detection of Pb2+ Ions in Aqueous Media;Apr24;2020;"Venkateswarlu, S; Reddy, AS; (...); Yoon, MY";ACS APPLIED NANO MATERIALS;23;41
6;Microstructure and properties of pure titanium coating on Ti-6Al-4V alloy by laser cladding;jun-25;2021;"Wang, C; Li, JJ; (...); Huang, Y";SURFACE & COATINGS TECHNOLOGY;11;25
7;Strengthening/Weakening Action of Zr on Stabilizers of Ti Alloys and Its Effect on Phase Transition;Feb;2021;"Liang, SX; Zhou, YX and Yin, LX";JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE;1;49
8;User authentication in a tactile internet based remote surgery environment: Security issues, challenges, and future research directions;Mar;2019;"Wazid, M; Das, AK and Lee, JH";PERVASIVE AND MOBILE COMPUTING;7;73
9;Prospective validation of an ultrasound-based thyroid imaging reporting and data system (TI-RADS) on 3980 thyroid nodules;Mar;2015;"Zhang, J; Liu, BJ; (...); Qu, S";INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE;26;24
10;Determination of carbonization depths in Ti substrates in diamond growth atmospheres and modified diffusion models;Apr15;2021;"Wang, XC; Qiao, Y; (...); Sun, FH";JOURNAL OF ALLOYS AND COMPOUNDS;-;23
11;On the fatigue crack growth behavior of Ti-10V-2Fe-3Al in gaseous hydrogen;oct-16;2020;"Harris, ZD; Ronevich, JA; (...); Somerday, BP";INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;-;68
12;Vanadium-Substituted Formation of Anatase (V, Ti)O-2: Enhanced Electrochemical Performance for Lithium Ion Batteries;Jan;2019;"Zhao, ZJ; Wang, D; (...); Jin, HB";ACS APPLIED ENERGY MATERIALS;1;46
13;LM-DAE: Low-Memory Deterministic Authenticated Encryption for 128-bit Security;Jan;2020;"Naito, Y; Sasaki, Y and Sugawara, T";IACR TRANSACTIONS ON SYMMETRIC CRYPTOLOGY;-;36
14;Critical incidents and judicial response during medium security treatment;Mar-apr;2017;"Jeandarme, I; Wittouck, C; (...); Bogaerts, S";INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY;5;46
15;Do floods affect food security? A before-and-after comparative study of flood-affected households' food security status in South-Eastern Nigeria;Mar;2020;"Akukwe, TI; Oluoko-Odingo, AA and Krhoda, GO";BULLETIN OF GEOGRAPHY-SOCIO-ECONOMIC SERIES;6;52
16;Grasp on next generation security operation centre (NGSOC): Comparative study;Mar;2021;"Dun, YT; Ab Razak, MF; (...); Firdaus, A";INTERNATIONAL JOURNAL OF NONLINEAR ANALYSIS AND APPLICATIONS;1;22
17;Texture evolution as a function of scan strategy and build height in electron beam melted Ti-6Al-4V;Oct;2021;"Saville, AI; Vogel, SC; (...); Clarke, AJ";ADDITIVE MANUFACTURING;4;47
18;IC security and quality improvement by protection of chip backside against hardware attacks;Sep;2018;"Amini, E; Beyreuther, A; (...); Boit, C";MICROELECTRONICS RELIABILITY;5;15
